"","Indicator.Code","Year","count","Indicator.Name"
"74","AG.LND.ARBL.ZS",1976,176,"Arable land (% of land area)"
"75","AG.LND.ARBL.ZS",1977,176,"Arable land (% of land area)"
"76","AG.LND.ARBL.ZS",1978,176,"Arable land (% of land area)"
"77","AG.LND.ARBL.ZS",1979,176,"Arable land (% of land area)"
"78","AG.LND.ARBL.ZS",1980,176,"Arable land (% of land area)"
"79","AG.LND.ARBL.ZS",1981,176,"Arable land (% of land area)"
"80","AG.LND.ARBL.ZS",1982,176,"Arable land (% of land area)"
"81","AG.LND.ARBL.ZS",1983,176,"Arable land (% of land area)"
"82","AG.LND.ARBL.ZS",1984,176,"Arable land (% of land area)"
"83","AG.LND.ARBL.ZS",1985,177,"Arable land (% of land area)"
"84","AG.LND.ARBL.ZS",1986,177,"Arable land (% of land area)"
"85","AG.LND.ARBL.ZS",1987,177,"Arable land (% of land area)"
"86","AG.LND.ARBL.ZS",1988,177,"Arable land (% of land area)"
"87","AG.LND.ARBL.ZS",1989,177,"Arable land (% of land area)"
"88","AG.LND.ARBL.ZS",1990,177,"Arable land (% of land area)"
"89","AG.LND.ARBL.ZS",1991,181,"Arable land (% of land area)"
"90","AG.LND.ARBL.ZS",1992,200,"Arable land (% of land area)"
"91","AG.LND.ARBL.ZS",1993,203,"Arable land (% of land area)"
"92","AG.LND.ARBL.ZS",1994,203,"Arable land (% of land area)"
"93","AG.LND.ARBL.ZS",1995,203,"Arable land (% of land area)"
"94","AG.LND.ARBL.ZS",1996,203,"Arable land (% of land area)"
"95","AG.LND.ARBL.ZS",1997,203,"Arable land (% of land area)"
"96","AG.LND.ARBL.ZS",1998,203,"Arable land (% of land area)"
"97","AG.LND.ARBL.ZS",1999,203,"Arable land (% of land area)"
"98","AG.LND.ARBL.ZS",2000,204,"Arable land (% of land area)"
"99","AG.LND.ARBL.ZS",2001,204,"Arable land (% of land area)"
"100","AG.LND.ARBL.ZS",2002,204,"Arable land (% of land area)"
"101","AG.LND.ARBL.ZS",2003,204,"Arable land (% of land area)"
"102","AG.LND.ARBL.ZS",2004,204,"Arable land (% of land area)"
"103","AG.LND.ARBL.ZS",2005,204,"Arable land (% of land area)"
"104","AG.LND.ARBL.ZS",2006,206,"Arable land (% of land area)"
"105","AG.LND.ARBL.ZS",2007,207,"Arable land (% of land area)"
"106","AG.LND.ARBL.ZS",2008,206,"Arable land (% of land area)"
"107","AG.LND.ARBL.ZS",2009,206,"Arable land (% of land area)"
"108","AG.LND.ARBL.ZS",2010,206,"Arable land (% of land area)"
