country_name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,88202.351,90589.568,94912.961,101029.517,108979.573,120966.996,120332.605,129265.417,134622.904,142257.598,147618.752,152774.554,157486.649,170992.21,172356.334,175883.988,174244.839,187787.07,202015.03,205069.641,220746.066,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,263600,264710,268360,272360,278670,289010,299590,306770,327660,333040,338810,344960,352890,351990,365270,369510,375060,385370,388500,394950,387350,385770,385770,379270,369880,375970,383960,387200,386620,,
Austria,30821.135,31862.563,33905.082,36992.696,38943.54,38188.138,39258.902,39966.633,42350.183,44693.396,50692.608,52155.741,56193.108,60164.469,57469.224,54392.611,58415.31,56218.777,57483.892,61594.599,52306.088,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.586,58270,62420,57670,57800,58290,61180,64900,64220,64670,63050,63530,67910,69370,74460,75800,76240,74100,71240,70730,64420,69960,68270,65110,65750,61990,63150,63390,65830,63180,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57520,67030,44620,53520,47580,45770,40380,39470,39390,38780,40010,38720,38130,34340,34090,36650,34170,27510,29580,25140,24150,28560,30760,31390,32630,32170,32660,31970,32020,,
Burundi,,,44.004,47.671,47.671,36.67,47.671,47.671,55.005,73.34,62.339,73.34,73.34,73.34,91.675,77.007,88.008,99.009,102.676,110.01,146.68,157.681,157.681,205.352,220.02,231.021,234.688,249.356,227.354,267.691,190,230,200,210,210,220,220,230,230,230,260,210,220,170,160,160,190,190,200,200,320,370,390,410,390,410,460,570,590,,
Belgium,91000.272,92793.435,98117.919,105781.949,103662.423,105440.918,105206.23,107472.436,118557.777,123618.237,125620.419,121528.047,130834.893,138872.957,135220.625,122100.099,130009.818,126570.172,135855.016,140233.414,135301.299,124021.607,117553.019,101630.905,105422.583,104472.83,102874.018,103116.04,100354.789,107461.435,109310,113960,112330,110110,114900,114570,119450,116640,119410,115510,117280,118340,110850,115500,114020,110610,108650,104590,106930,99670,106470,95570,94960,96610,90160,95200,94320,92770,93470,,
Benin,161.348,128.345,135.679,121.011,143.013,150.347,113.677,143.013,154.014,201.685,282.359,293.36,388.702,381.368,407.037,443.707,260.357,297.027,363.033,366.7,517.047,429.039,491.378,454.708,502.379,744.401,685.729,539.049,553.717,630.724,380,330,360,420,400,460,1050,1240,1300,1420,1530,1840,2120,2380,2530,2780,3830,4390,4350,4700,5080,4980,4740,5020,5510,5990,7230,7360,7910,,
Burkina Faso,44.004,91.675,84.341,88.008,110.01,102.676,102.676,102.676,102.676,121.011,143.013,150.347,161.348,168.682,205.352,220.02,209.019,249.356,348.365,407.037,432.706,557.384,575.719,594.054,465.709,476.71,480.377,517.047,553.717,821.408,590,600,610,620,620,640,720,820,880,930,1050,1020,1020,1100,1130,1150,1400,1680,1910,1930,2090,2200,2710,2970,3020,3400,3500,4070,4270,,
Bangladesh,14154.62,14656.999,16105.464,18514.683,19035.397,19974.149,20326.181,21572.961,24737.582,23993.181,24337.879,23076.431,3509.319,4554.414,4660.757,4869.776,5570.173,5812.195,6017.547,6648.271,7638.361,7931.721,8599.115,8236.082,9123.496,10234.597,11463.042,11862.745,13545.898,13454.223,11520,10830,11820,12570,13540,16550,16820,18970,19250,20110,21650,25780,27430,28630,30530,32710,35900,37990,41580,44750,50580,54420,57990,60580,63800,71690,73740,78710,82760,,
Bulgaria,22295.36,25973.361,30736.794,34411.128,42863.563,46317.877,48767.433,55166.348,59526.411,66376.367,61238.9,64300.845,66171.015,68825.923,71260.811,73061.308,73116.313,75969.239,81411.067,79152.195,77487.377,80343.97,90131.193,90365.881,87366.275,89540.806,91528.32,91634.663,87289.268,86739.218,73560,58610,55130,55670,53520,54690,55060,53370,50590,44300,43330,46180,43630,47890,47180,47880,48970,52620,50030,42970,44850,49670,45120,39820,42230,44690,41740,44040,41130,,
Bahrain,575.719,1771.161,1591.478,1195.442,1598.812,1228.445,649.059,1004.758,1103.767,1272.449,2592.569,3039.943,3681.668,5522.502,5405.158,5753.523,6574.931,7469.679,7766.706,8133.406,7887.717,8525.775,9838.561,8228.748,9207.837,10194.26,11012.001,11430.039,12163.439,11738.067,10740,10350,12270,13070,13370,13540,14170,14420,15510,15450,15880,16390,17220,17960,17930,20700,22500,23010,24770,24730,25980,26030,26570,28760,30220,30600,30200,30380,30750,,
"Bahamas, The",410.704,546.383,726.066,707.731,1085.432,1316.453,1092.766,1705.155,1631.815,1745.492,2574.234,6732.612,6490.59,7873.049,7389.005,8254.417,6464.921,9717.55,6607.934,6930.63,7990.393,2801.588,2262.539,2016.85,1855.502,1510.804,1411.795,1422.796,1540.14,1947.177,1780,1880,2530,2100,2040,2080,1970,1770,2270,2230,2140,2130,2280,2250,2160,2020,2020,2070,2110,6020,2080,2420,3640,3110,2620,2370,2190,2150,2260,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23970,21440,15970,13400,3160,3370,4190,8490,10760,10520,13950,13760,14560,14860,15570,16230,17910,18890,20760,20590,20840,23740,21960,21850,19490,19610,22340,22650,22540,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99850,96240,87780,76240,64670,57530,58480,59050,57230,54980,52990,51740,51770,52550,55770,56480,58810,57350,60270,57200,61470,58350,59790,59930,59470,54890,55210,56240,59310,,
Belize,44.004,36.67,69.673,62.339,84.341,84.341,80.674,121.011,102.676,135.679,121.011,143.013,157.681,146.68,154.014,176.016,176.016,198.018,216.353,209.019,190.684,183.35,172.349,172.349,172.349,190.684,205.352,227.354,249.356,300.694,330,430,500,460,450,460,360,460,450,410,450,530,520,510,440,470,510,530,500,1460,560,640,690,500,490,660,650,650,680,,
Bermuda,157.681,176.016,157.681,150.347,201.685,179.683,201.685,212.686,223.687,198.018,227.354,231.021,253.023,425.372,443.707,458.375,469.376,454.708,425.372,462.042,436.373,388.702,396.036,451.041,443.707,451.041,421.705,572.052,645.392,781.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
