country_name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
East Asia & Pacific (excluding high income),852432.1154,632522.1617,526971.5962,526843.2347,535755.1897,587220.8125,642276.8895,564504.4961,619325.855,739013.7764,974659.8009,1121743.732,1164752.166,1224304.563,1245333.842,1417048.51,1481984.754,1626684.829,1789879.96,1833819.932,1814441.015,1804073.074,1941122.804,2049500.244,2208437.442,2386650.868,2510692.077,2685634.119,2894144.525,2958765.367,2671323.186,2825502.416,2955998.692,3213174.239,3362833.286,3745146.397,3766727.702,3871034.007,3956429.169,3911576.458,4130609.699,4355403.288,4671022.367,5331428.254,6097776.689,6827454.243,7467099.63,8062943.964,8302969.738,8812611.998,9644902.02,10505942.73,10794379.67,11202249.48,11235090.27,11228610.12,11254610.74,11507916.84,11907866.46,,
Early-demographic dividend,604421.2142,630430.8267,666370.7237,701281.5952,746736.6836,800007.7836,840758.6392,913977.8482,1004423.716,1061629.3,1142619.016,1216676.854,1250251.68,1374726.27,1428425.285,1460455.654,1587486.215,1700937.444,1785678.308,1886542.661,1977955.043,2052944.623,2144337.313,2201600.508,2279090.923,2399847.738,2521628.516,2623863.405,2752512.617,2882059.766,2596070.247,2734404.47,2812463.379,2908078.544,3044959.097,3189027.555,3352367.209,3498888.365,3612283.086,3722023.788,3860085.64,3946740.95,4077905.216,4242135.85,4471307.912,4665020.974,4910871.38,5228350.57,5445259.144,5611922.454,5871397.846,6097436.462,6382099.558,6455620.422,6786314.147,6852436.874,6961236.541,7207207.079,7400359.524,,
East Asia & Pacific,1232271.296,1066777.457,978885.1566,1024770.979,1081082.186,1177370.212,1271876.71,1283871.337,1425716.627,1659111.601,2054417.294,2245063.048,2364536.965,2521716.781,2547405.738,2690218.037,2825063.672,3031270.826,3204082.709,3328648.299,3323288.839,3291061.417,3412725.981,3520967.721,3766238.305,3945521.706,4089200.594,4290089.2,4644594.568,4795868.193,4545253.93,4749295.596,4928672.655,5231578.41,5481613.343,5936533.205,6012555.994,6141774.802,6137536.744,6171273.365,6487816.436,6734567.923,7102051.612,7805467.659,8640176.286,9406374.858,10068470.88,10757242.91,10956090.96,11446424.06,12423292.88,13409665.63,13756716.1,14185336.65,14155188.45,14136568.74,14170430.39,14433707.89,14810056.87,,
Europe & Central Asia (excluding high income),2430300.257,2512343.579,2656183.592,2850761.455,3041972.579,3230983.484,3418048.265,3587973.284,3705231.654,3878800.605,4073857.78,4324700.026,4556023.271,4764316.407,4944260.795,5203072.336,5418208.672,5609194.577,5811025.653,5853615.187,6056832.228,5969776.334,6094576.661,6187378.532,6223627.278,6693711.779,6741983.766,6753435.298,6904072.312,6790290.403,4025750.576,3903837.753,3598810.002,3269102.852,2898009.322,2811245.338,2724461.297,2579583.896,2555716.781,2540132.958,2601084.356,2591998.807,2621842.73,2716107.807,2735171.415,2737237.224,2866315.413,2912541.458,2973768.671,2725352.531,2877298.232,3042250.958,3033362.49,2973728.588,2886246.825,2807994.237,2837305.137,2893251.378,2949087.39,,
Europe & Central Asia,4836199.464,5001459.21,5280550.622,5654244.166,5948023.715,6224880.828,6497112.549,6715900.28,7014837.197,7378568.791,7826039.008,8158008.834,8538858.856,8945182.129,9029547.924,9176205.309,9653729.37,9816861.212,10140000.24,10382547.7,10448255.13,10085576.29,10091019.25,10108792.84,10139384.26,10698737.44,10732845.5,10800669.64,10895798.15,10922324.15,7974744.742,7873341.832,7459866.01,7063801.594,6681522.043,6630810.57,6660383.914,6437000.979,6427774.336,6376792.376,6444224.008,6499102.998,6509151.123,6701217.57,6730269.974,6710554.411,6844736.256,6835622.546,6808431.644,6281559.091,6542802.068,6555060.508,6516141.965,6383963.134,6107967.965,6069600.25,6089580.306,6148128.377,6142069.263,,
Ecuador,1763.827,1646.483,1565.809,1796.83,2145.195,2277.207,2420.22,2592.569,3116.95,3593.66,4283.056,4224.384,4594.751,5262.145,6090.887,7363.336,8111.404,7484.347,10425.281,12167.106,13443.222,16692.184,19288.42,19556.111,21257.599,19431.433,15276.722,15115.374,17271.57,20267.509,15600,16160,17210,16140,17030,19780,22490,23550,23380,20720,21370,23420,23590,23960,25420,27150,29110,29580,30280,32430,34650,35500,36630,39430,41200,40720,39010,37760,39530,,
"Egypt, Arab Rep.",16054.126,17088.22,18595.357,21554.626,25522.32,27641.846,26563.748,19677.122,22904.082,19695.457,21686.638,23047.095,25511.319,23795.163,26123.708,31099.827,34495.469,37865.442,39313.907,42947.904,45239.779,50978.634,56523.138,57091.523,63838.803,63937.812,74564.778,74810.467,74531.775,72181.228,86820,89390,92300,91830,86430,91870,96770,103960,109270,114670,112860,125010,127740,131240,142690,160590,169130,182230,189120,195490,196500,201610,212410,210430,216650,225950,233960,238690,246260,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622870,2638010,2563960,2510690,2509020,2558270,2615430,2587240,2629090,2614010,2632530,2679680,2684280,2741390,2754840,2746350,2730260,2693450,2636270,2438490,2501370,2408310,2379020,2332350,2208030,2256340,2253030,2256530,2207420,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,440,630,730,800,870,830,610,650,640,700,680,690,680,600,520,510,450,470,500,580,630,650,680,650,660,720,800,,
Spain,48928.781,53677.546,60054.459,58822.347,64410.855,71117.798,77729.399,86519.198,97157.165,96882.14,116929.629,128682.364,145026.183,155367.123,173152.073,181644.845,198443.372,195663.786,200493.225,203745.854,215003.544,207288.176,209906.414,204867.956,198953.085,201233.959,190467.647,190878.351,199033.759,226671.938,215020,222210,232480,218110,228460,240580,230100,248610,256220,278310,293310,294790,312750,318660,335560,350500,341780,354680,324160,287490,273250,274400,269270,242800,240960,256280,247030,263440,258340,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35020,31360,23780,18320,17880,16230,17210,16830,16260,15200,14820,15290,14860,16830,16920,17120,15890,19850,18290,14960,18880,18050,16780,19190,17820,15370,15650,16280,16000,,
Ethiopia,352.032,341.031,396.036,421.705,407.037,645.392,825.075,1074.431,1727.157,1668.485,1653.817,1851.835,1408.128,1752.826,1738.158,1210.11,1177.107,1048.762,1371.458,1848.168,1822.499,1866.503,1481.468,1844.501,1664.818,1815.165,2214.868,2581.568,2673.243,2827.257,2310,2330,1520,1940,2260,2570,2870,3060,3230,3180,3560,4400,4570,5020,5330,5050,5400,6070,6880,6930,6470,7540,8460,10280,12330,12880,14950,15460,16280,,
European Union,1687910.915,1775816.562,1924617.389,2102660.954,2223323.732,2308396.113,2412860.625,2530014.733,2707669.081,2897623.809,3116397.715,3207027.876,3394658.754,3601853.474,3600834.643,3537180.606,3837936.058,3811572.377,3967127.253,4114434.176,4074379.24,3825160.605,3740677.772,3678981.264,3674224.812,3742372.008,3717496.507,3800176.353,3740672.048,3855628.229,3562660,3523680,3409310,3348670,3336380,3389850,3487250,3418590,3410320,3355390,3362290,3418140,3411220,3503750,3508990,3489300,3497050,3456800,3379180,3129340,3215040,3117130,3057640,2983560,2838990,2896820,2904100,2926600,2871000,,
Fragile and conflict affected situations,111700.0901,108323.777,111695.0173,117574.9584,121631.7359,147210.6099,160314.3172,180108.7948,194123.4307,220840.9654,240216.4159,239788.2794,242106.5926,262361.0891,286855.9581,257177.9056,292080.1334,290613.5384,294863.0202,362012.1189,370998.4292,364334.9868,365296.0164,378759.5405,395584.391,414627.3526,435514.9444,432057.9706,479007.2285,447106.5104,446918.8906,450609.1404,446530.4433,479756.1055,487381.1653,499140.2937,520137.279,543706.5736,504315.5351,481307.6571,503213.1168,531059.386,538102.614,528530.9937,543194.5527,605644.783,589593.4412,583572.9124,619369.5477,626665.6122,671707.3307,678687.0623,723565.5121,745929.3385,772835.1806,731376.5571,733331.8644,745603.454,771602.9297,,
Finland,15104.373,14939.358,16809.528,19358.093,22852.744,25327.969,29519.35,28617.268,33314.695,37935.115,40395.672,40582.689,44161.681,49387.156,46680.91,46101.524,51279.328,50219.565,51913.719,54333.939,58246.628,51510.349,43083.583,41576.446,42254.841,49665.848,53329.181,57656.241,52185.077,52584.78,54560,55130,52280,53460,59930,56090,62570,60620,57270,56510,55100,61090,63440,71710,67680,55460,67020,65100,56660,54180,62530,55120,49410,50190,46160,42820,45710,43010,44360,,
Fiji,194.351,168.682,231.021,242.022,425.372,344.698,322.696,355.699,396.036,432.706,520.714,550.05,579.386,630.724,671.061,623.39,484.044,766.403,711.398,839.743,795.739,1081.765,839.743,715.065,583.053,579.386,605.055,476.71,553.717,630.724,730,730,760,750,750,760,820,800,780,800,850,1080,920,1080,1460,1280,1370,1260,960,970,1160,1110,1030,1130,1310,1510,1740,1810,1900,,
France,271218.654,281211.229,298706.486,334019.696,345303.055,351852.317,347235.564,372009.816,384631.63,413259.899,439013.24,462434.369,480729.032,516599.626,499071.366,446919.292,505602.293,480857.377,505858.983,529155.434,505363.938,454700.666,436893.714,422603.415,405342.846,400880.107,385614.386,377491.981,372207.834,390649.177,356540,380690,368660,349530,344480,352280,367960,359140,381180,375000,373240,376860,371170,376840,377950,380820,371600,362910,358210,343880,347940,333530,336330,336630,304530,310520,312710,316360,309960,,
Faroe Islands,58.672,113.677,117.344,124.678,121.011,135.679,139.346,168.682,183.35,212.686,256.69,260.357,234.688,253.023,300.694,348.365,330.03,407.037,399.703,480.377,421.705,440.04,458.375,487.711,498.712,517.047,491.378,498.712,528.048,579.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,110,110,110,120,120,130,130,130,130,150,140,160,160,160,140,140,120,130,110,120,130,140,140,150,170,170,180,,
Gabon,132.012,165.015,88.008,73.34,190.684,216.353,381.368,1012.092,1961.845,1433.797,2082.856,2845.592,2739.249,5313.483,5452.829,5368.488,5709.519,6314.574,7561.354,6754.614,6633.603,6574.931,6556.596,5518.835,5995.545,6318.241,4968.785,4022.699,4334.394,5771.858,4130,4350,4610,4700,4440,4610,4720,4830,4930,4820,4670,4580,4330,4390,4430,4630,4040,4050,4130,4200,4770,5640,5830,5700,5500,5480,5710,4700,4610,,
United Kingdom,584299.78,588938.535,593360.937,603822.888,608355.3,622619.93,618564.228,592517.527,606969.174,628857.497,653063.364,660863.073,648486.948,660034.331,617607.141,603643.205,598912.775,604746.972,605084.336,644893.288,579290.658,560819.979,548520.861,545741.275,529335.117,559855.558,568777.369,571868.65,570464.189,581721.879,556690,570340,552980,540520,535390,524290,544660,522330,525030,522360,530120,544480,530230,542080,542320,540600,541640,529160,514410,465120,481790,444420,467080,453060,414850,400370,378890,366380,358800,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33490,25510,20070,16090,10440,8180,6360,5520,4990,4520,4770,3520,2960,3160,3370,4240,4700,5630,4840,5620,5320,6520,7190,7840,8470,9200,9650,9630,9460,,
Ghana,1463.133,1345.789,1433.797,1723.49,1650.15,1705.155,1441.131,1496.136,1763.827,1690.487,2625.572,2295.542,2423.887,2475.225,2937.267,2746.583,2434.888,3003.273,2970.27,2658.575,2559.566,3047.277,3043.61,3655.999,2581.568,3325.969,3047.277,3285.632,3450.647,3344.304,2790,2560,3080,3190,3460,3710,4090,4290,6100,6580,5740,6210,7420,7130,6620,7020,8430,9050,8560,9950,11150,12210,14220,15010,14370,15130,14110,14780,16110,,
Gibraltar,47.671,51.338,55.005,55.005,55.005,47.671,55.005,62.339,66.006,66.006,69.673,80.674,73.34,84.341,77.007,88.008,77.007,77.007,69.673,91.675,88.008,51.338,22.002,36.67,33.003,44.004,40.337,47.671,69.673,69.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,410.704,616.056,660.06,696.73,700.397,696.73,718.732,726.066,748.068,748.068,792.072,814.074,832.409,803.073,839.743,843.41,887.414,902.082,902.082,946.086,964.421,990.09,982.756,953.42,979.089,993.757,997.424,993.757,1026.76,1045.095,1000,1020,1050,1080,1120,1160,1230,1290,1360,1430,1490,1570,1630,1700,1770,1840,1900,1980,2010,2120,2500,2620,2490,2180,2240,2540,2830,2970,3120,,
"Gambia, The",18.335,22.002,25.669,29.336,29.336,29.336,33.003,33.003,36.67,47.671,47.671,55.005,66.006,62.339,62.339,99.009,99.009,113.677,139.346,146.68,157.681,157.681,161.348,161.348,172.349,172.349,161.348,179.683,183.35,179.683,190,200,200,210,210,220,220,230,250,260,240,310,300,300,320,340,360,400,430,480,440,450,460,440,520,530,530,540,570,,
Guinea-Bissau,18.335,29.336,40.337,47.671,58.672,66.006,66.006,47.671,62.339,58.672,69.673,73.34,66.006,110.01,102.676,113.677,95.342,102.676,102.676,110.01,146.68,143.013,143.013,143.013,161.348,172.349,183.35,194.351,216.353,231.021,170,170,180,190,180,180,180,200,170,190,150,150,150,200,210,210,220,230,220,230,240,250,250,260,280,280,300,300,310,,
Equatorial Guinea,22.002,22.002,22.002,25.669,25.669,29.336,25.669,25.669,29.336,44.004,36.67,66.006,88.008,29.336,51.338,62.339,62.339,62.339,69.673,62.339,58.672,69.673,73.34,62.339,80.674,66.006,80.674,99.009,106.343,117.344,60,70,70,990,990,1000,1510,1630,1610,1820,2350,2730,4030,5160,7250,8090,9160,7550,8980,9660,9520,9710,10010,9350,8090,7140,5600,5630,6670,,
Greece,9405.855,9823.893,10164.924,12258.781,13223.202,17025.881,18650.362,19534.109,22321.029,25474.649,24165.53,27814.195,31572.87,37256.72,36218.959,38873.867,42911.234,46999.939,48081.704,51293.996,51429.675,50721.944,52148.407,55544.049,57054.853,60600.842,59130.375,63472.103,67989.847,74183.41,75620,75820,78180,78090,79730,82840,82760,83760,87130,87400,94460,96610,96600,100220,99850,101950,100700,104310,100410,94740,87580,84550,80090,72480,69550,68010,66850,66800,65290,,
Grenada,22.002,18.335,25.669,14.668,22.002,22.002,29.336,36.67,40.337,47.671,44.004,47.671,47.671,55.005,36.67,47.671,47.671,47.671,51.338,47.671,47.671,58.672,62.339,62.339,62.339,62.339,66.006,73.34,95.342,102.676,110,120,160,150,160,170,190,200,230,220,210,230,240,250,230,250,260,280,290,810,290,290,420,320,250,270,280,290,300,,
Greenland,223.687,293.36,264.024,330.03,315.362,344.698,388.702,418.038,542.716,407.037,381.368,469.376,553.717,557.384,557.384,506.046,220.02,722.399,392.369,572.052,564.718,528.048,517.047,363.033,568.385,509.713,326.363,234.688,546.383,473.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,1345.789,1408.128,1382.459,1521.805,1771.161,1976.513,1741.825,1983.847,2141.528,2280.874,2299.209,2442.222,2709.913,2937.267,3069.279,3523.987,3311.301,3813.68,4129.042,4693.76,4510.41,3967.694,3626.663,3179.289,3421.311,3523.987,3700.003,3993.363,4125.375,4246.386,3930,4030,4830,5110,5430,6350,6190,6550,8290,8200,9420,9810,10470,10540,10750,11520,11510,12410,11240,11850,11450,11740,12150,13010,13950,16340,17460,16510,18210,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,660.06,737.067,678.395,616.056,649.059,1078.098,1180.774,1323.787,1331.121,1367.791,1580.477,1499.803,1562.142,1804.164,1554.808,1826.166,1752.826,1899.506,2057.187,1521.805,1789.496,1800.497,1404.461,1246.78,1404.461,1419.129,1045.095,1309.119,1404.461,1184.441,1180,1150,1080,1090,1410,1530,1580,1720,1750,1740,1660,1640,1620,1620,1670,1480,1330,1600,1600,1620,1760,1830,2000,1980,2060,2050,2310,2320,2440,,
High income,5798977.204,5926072.783,6202366.437,6549112.083,6882065.06,7183789.363,7497295.749,7832862.91,8247889.564,8783274.53,9550102.452,9740081.781,10228525.3,10763972.56,10510987.96,10168655.55,10734639.87,10949354.51,11232112.03,11535393.71,11294922.12,10837684.29,10432965.4,10401082.77,10691195.26,10814460.68,10833128.44,11130699.74,11538242.68,11837259.22,11460760.06,11517434.74,11538398.57,11643317.74,11843229.8,12015625.4,12383642.54,12608798.38,12613771.72,12705533.96,12997901.26,13062911.4,12973095.7,13194725.36,13345240.3,13397664.22,13335232.47,13505864.98,13237467.56,12497886.73,13023889.01,12779818.17,12635662.58,12733610.92,12533637.72,12490171.94,12388259.19,12320925.43,12366368.33,,
"Hong Kong SAR, China",2955.602,3373.64,3685.335,4250.053,4224.384,4807.437,5166.803,6057.884,6204.564,7759.372,8401.097,9160.166,9284.844,9295.845,10678.304,11019.335,12508.137,14231.627,15753.432,15885.444,16662.848,18690.699,19702.791,21015.577,22346.698,23014.092,25698.336,28272.57,29482.68,30348.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,616.056,737.067,700.397,711.398,722.399,751.735,806.74,876.413,1224.778,1177.107,1389.793,1331.121,1536.473,1510.804,1558.475,1668.485,1778.495,2002.182,2049.853,1932.509,2057.187,1822.499,1763.827,2002.182,1987.514,1906.84,1848.168,2174.531,2504.561,2728.248,2460,2460,2740,2910,3270,3880,3930,4070,4710,4780,5040,5850,6130,6770,7610,7030,8030,8610,8650,8150,8210,8780,9140,9340,9460,9870,9400,9000,9770,,
Heavily indebted poor countries (HIPC),19648.53115,20698.31911,20733.31204,21924.43034,23848.54453,27860.27644,29061.94728,31668.64866,35410.46681,39636.65075,42971.74953,46155.25292,47319.94928,50769.66898,51856.71891,51764.28269,50418.41134,52219.06889,54348.79938,55210.30494,59687.9154,58593.47056,59887.57763,60275.80975,58415.99302,62220.6678,54999.55036,61067.06378,66173.24053,70070.35153,54317.30704,53893.81959,53430,58010,62240,64980,66940,71390,75730,77890,79050,82780,87790,91840,97010,103480,112740,121540,128480,135980,146550,157750,164190,169460,179610,188990,197520,204450,211980,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20330,14630,14960,15490,14830,15400,15340,17050,18470,18510,18050,19200,20280,21610,21110,21470,21620,22890,21740,20320,19460,19040,17460,17040,16340,16680,16940,17480,16580,,
Haiti,286.026,297.027,304.361,249.356,300.694,304.361,304.361,260.357,264.024,315.362,385.035,403.37,392.369,421.705,473.043,484.044,674.728,707.731,755.402,755.402,751.735,766.403,825.075,894.748,913.083,942.419,843.41,913.083,1023.093,1037.761,1020,1000,900,700,190,900,1060,1270,1310,1380,1470,1600,1830,1810,1670,1710,1720,2040,2030,1990,2460,2800,2500,2730,3060,3320,3400,3370,3330,,
Hungary,45371.791,48976.452,50560.596,56281.116,62401.339,61293.905,61733.945,58829.681,61154.559,62419.674,70003.03,69280.631,69430.978,73068.642,74102.736,75389.853,80013.94,83204.23,88187.683,86229.505,86860.229,86618.207,86871.23,89137.436,90853.592,86104.827,83537.927,84436.342,78264.781,76090.25,67420,64550,58000,58380,57780,57430,58460,56990,57350,57910,54630,56300,55630,58230,56390,55960,55460,53860,53030,47840,47880,46910,43430,40760,40630,43380,44480,46550,46390,,
IBRD only,3686202.875,3522356.987,3552231.787,3740752.375,3952357.156,4213514.497,4475464.581,4553562.758,4810907.174,5156345.231,5659578.054,6065497.284,6391844.866,6726863.882,6954923.252,7422614.279,7803560.542,8205527.352,8674041.278,8876987.147,9075374.758,8953266.875,9313890.546,9555357.57,9845099.904,10516564.01,10783592.6,11107073.8,11540474.49,11639002.65,8929720.31,9061579.149,8992417.326,9031023.067,8956021.913,9380375.022,9481820.108,9604718.385,9677669.234,9665027.354,10029521.56,10330186.27,10748678.51,11610546.69,12603314.33,13515600,14452560,15353190,15854650,16275440,17496240,18689600,19263990,19763900,19941800,19845450,19902630,20344460,20938730,,
IDA & IBRD total,3808954.893,3645457.33,3680192.922,3880449.53,4101888.393,4378181.032,4649888.498,4734633.481,5001838.665,5365035.812,5893552.205,6321076.694,6633696.89,6990439.72,7243264.165,7701704.791,8100887.506,8507430.016,8984638.774,9230395.722,9440138.972,9323198.068,9689386.042,9937686.416,10251683.98,10939085.34,11215773.49,11546789.76,12013083.16,12084272.93,9350193.571,9491934.773,9425822.72,9465732.702,9382609.43,9812860.452,9931689.494,10063001.04,10156124.33,10158346.56,10533872.76,10856636.1,11287757.99,12157165.87,13178924.07,14120713.36,15084787.41,16011930.28,16526875.1,16937581.89,18196514.92,19417415.83,19985125.2,20501044.18,20703760.95,20620736.74,20724486.98,21220900.87,21860535.52,,
IDA total,101210.4187,105424.7843,112047.4718,125406.1209,135395.6112,151476.0611,160241.8312,167929.6485,176914.5628,195115.3814,220832.2556,243219.9058,219002.7438,242763.8722,272483.0503,251926.0023,270167.3471,269504.0255,273294.4348,327941.4768,339964.1814,349067.0862,350452.9547,355599.6198,383571.6561,393722.8461,402269.0346,406965.5887,444206.3603,405407.9674,418080.7531,427979.2192,431136.5761,432424.0049,424263.5313,429869.4218,447386.5628,455800.4673,476166.171,491230.1013,502087.0792,524206.5245,536634.7738,543536.0142,572042.8997,601137.5562,627789.9234,653864.6538,667089.4976,656519.7565,694086.4202,720951.601,713695.6714,729482.9821,754423.0899,767965.1841,814983.2542,869798.9007,915178.5696,,
IDA blend,41836.9448,44306.13051,47859.70638,55618.95762,61026.25451,70983.20336,75629.35343,76881.9606,74210.58408,84084.45184,104132.5574,123503.2326,132565.4621,151929.7464,179186.7341,154403.0065,171172.6045,163759.2152,164149.0572,206264.7779,214975.5104,218567.1698,221794.5505,219775.041,238628.0571,247396.3073,255058.9399,243465.9327,273202.5714,238883.6912,276634.8742,287990.4106,300176.3519,308310.3176,299566.0543,296174.4007,305148.7762,305989.186,316394.259,325768.8296,332532.1271,344417.922,348680,345080,363280,373040,385540,395160,396420,377500,398410,414270,400120,415140,423580,424310,449690,474460,505410,,
Indonesia,21404.279,26024.699,22995.757,22783.071,22394.369,24689.911,23395.46,24561.566,27586.841,33391.702,35822.923,38987.544,43340.273,49134.133,51260.993,53963.572,61810.952,82434.16,93933.872,95096.311,94784.616,100160.438,105407.915,104956.874,112184.531,121245.688,121740.733,123372.548,132162.347,130966.905,147990,161840,170910,185480,196930,222840,234480,257670,261140,278990,280170,301830,306060,335370,343160,344400,364100,379980,377180,394490,416940,480460,486750,454320,490050,490840,494980,532920,583110,,
IDA only,53597.86937,55281.77441,58174.20075,63566.41269,67895.6043,73797.13042,77637.96808,83258.95493,93128.83655,100922.7276,107069.088,110889.3408,82802.33867,87810.77086,91651.2489,93727.04514,96052.75296,101397.8007,104350.8377,117800.1612,121202.0189,126174.7494,124792.5853,130836.3655,139879.0847,141623.3656,142867.8233,156164.1397,164503.0263,158479.647,139265.5236,137618.7508,128283.607,121258.5767,121965.176,131099.7635,139609.6763,147249.1407,157172.252,162794.3243,166839.3491,177018.4746,185210.9297,195871.362,206040.2469,225446.1251,239578.1102,256075.6667,268149.2975,276843.5405,293392.2999,304298.5058,311456.6635,312058.0493,328591.0611,341495.3724,363012.7508,393010.6878,407199.3144,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,120581.961,130402.187,143467.708,154083.673,150647.694,165972.087,171765.947,172238.99,187336.029,190724.337,195143.072,205869.047,217849.136,224343.393,231992.755,252201.592,263785.645,279051.366,283096.067,296891.321,314016.211,338838.134,349637.449,378669.088,388118.947,426673.785,457571.927,488481.07,527563.956,579008.299,562480,607340,630260,652470,687950,741100,776720,821480,839830,904090,940170,953880,987530,1015890,1087190,1137740,1214250,1336100,1423880,1568530,1665310,1760800,1908570,1966810,2136870,2150220,2183280,2301440,2434520,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,11180.683,12365.124,13120.526,13461.557,14231.627,13732.915,15111.707,16413.492,17821.62,18514.683,19413.098,22497.045,22053.338,22860.078,23303.785,22053.338,22295.36,23567.809,23571.476,27388.823,26255.72,26039.367,25547.989,25709.337,25529.654,26725.096,28525.593,30197.745,29842.046,30018.062,31000,31510,31590,31720,32910,33520,34980,36150,38670,40280,42620,44910,44040,44220,44860,46780,47810,47020,46350,41020,40630,36360,37100,35720,35550,36990,38710,37530,37110,,
"Iran, Islamic Rep.",37392.399,36541.655,37462.072,41341.758,47560.99,53765.554,64161.499,67942.176,82404.824,83116.222,91873.018,101722.58,106115.646,129595.447,143911.415,139349.667,156643.239,163969.905,162470.102,164028.577,120900.99,112899.596,138007.545,149785.949,150658.695,160768.614,148399.823,159573.172,176115.009,191204.714,179240,217670,233400,231280,261180,272400,280240,291410,292830,326410,340750,351010,368720,390680,419710,451200,490770,523740,534090,551430,550890,561730,571120,592480,610670,602230,605760,620780,629290,,
Iraq,8265.418,8720.126,9031.821,9394.854,9075.825,19314.089,27704.185,18393.672,19717.459,22625.39,23908.84,28862.957,29552.353,30645.119,30942.146,33157.014,48800.436,43710.64,42317.18,52991.817,45558.808,32122.92,30623.117,38749.189,40204.988,44675.061,47751.674,52881.807,67927.508,73251.992,64850,46770,67390,88770,99730,96100,98220,115790,81460,64610,74570,84300,79410,72080,75290,88230,83890,77470,86040,107520,120230,131030,151860,162550,168840,162190,172350,174290,188140,,
Iceland,1213.777,1092.766,1199.109,1305.452,1309.119,1397.127,1496.136,1444.798,1595.145,1265.115,1389.793,1474.134,1485.135,1752.826,1741.825,1617.147,1705.155,1906.84,1925.175,1987.514,1866.503,1752.826,1598.812,1547.474,1815.165,1628.148,1785.829,1851.835,1848.168,1903.173,1950,1910,1950,1980,2090,2000,2270,2150,2150,2120,2230,2160,2240,2230,2320,2290,2330,2380,2180,2110,1960,1890,1860,2030,2050,2060,2070,2170,2200,,
Israel,6468.588,7069.976,7942.722,8210.413,9149.165,12944.51,13597.236,13542.231,13809.922,14818.347,16578.507,16248.477,16934.206,19310.422,19446.101,19647.786,19611.116,19893.475,21176.925,21019.244,21147.589,21213.595,24081.189,23938.176,23743.825,24869.594,26626.087,27385.156,30051.065,31756.22,33800,34520,36860,40500,43360,46770,48730,50970,51500,52980,57000,57950,61080,62890,63160,60990,64330,66590,66700,65720,70510,69820,76060,67000,64710,66140,65260,66040,61970,,
Italy,109357.274,124549.655,146456.313,164780.312,175957.328,189767.25,214248.142,234427.643,249495.346,270008.544,296740.974,311588.657,328970.237,354320.208,359406.337,342310.783,367312.389,356175.71,373234.594,387466.221,388969.691,378020.029,369681.271,361364.515,367649.753,372134.494,366454.311,383670.876,389780.098,408907.17,405260,404070,402270,396930,392290,416420,412150,415520,426370,433010,436300,436570,443470,462200,472410,473830,466650,459370,444980,397060,405270,396690,376750,346450,327490,337860,333340,329190,324850,,
Jamaica,1470.467,2130.527,2119.526,2398.218,4066.703,2992.272,3520.32,3868.685,3883.353,4272.055,4994.454,5753.523,6288.905,8298.421,7601.691,8188.411,7282.662,7447.677,9119.829,8536.776,8452.435,7414.674,6219.232,6450.253,5144.801,5045.792,4550.747,5383.156,4528.745,6728.945,7470,7400,8150,8320,8380,8680,9040,9200,9720,9980,10060,10080,10250,10590,10570,10560,12060,12020,9620,7880,7480,7600,7110,7580,7400,7290,7750,7190,8510,,
Jordan,744.401,979.089,1048.762,1221.111,1243.113,1422.796,1584.144,1415.462,1507.137,1760.16,1558.475,1657.484,1917.841,2203.867,2229.536,2493.56,2951.935,3164.621,3641.331,3795.345,4726.763,5863.533,6292.572,7363.336,8353.426,8540.443,9281.177,9662.545,9314.18,9233.506,9930,9780,11920,12200,12990,13600,13870,14370,14610,14630,16270,16250,16870,17310,18580,19870,20170,21090,20010,20660,20200,20760,24120,23800,25590,25360,24860,26100,24700,,
