"","Time","Country","Series","SCALE","Data"
"1","YR2000","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,45.4055
"2","YR2000","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-25.6841
"3","YR2000","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,68.8198
"4","YR2000","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.2865
"5","YR2000","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,9.7109
"6","YR2001","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,54.08
"7","YR2001","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-29.0622
"8","YR2001","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,84.8553
"9","YR2001","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.3018
"10","YR2001","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,4.4803
"11","YR2002","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,54.3774
"12","YR2002","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-33.5255
"13","YR2002","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,84.099
"14","YR2002","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.1135
"15","YR2002","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,10.5114
"16","YR2003","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,53.1304
"17","YR2003","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-36.9405
"18","YR2003","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,78.3792
"19","YR2003","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.0811
"20","YR2003","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,18.9696
"21","YR2004","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,22.9667
"22","YR2004","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-48.4537
"23","YR2004","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,70.5774
"24","YR2004","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.2065
"25","YR2004","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,8.6729
"26","YR2005","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,50.1436
"27","YR2005","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-43.2124
"28","YR2005","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,84.8119
"29","YR2005","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.134
"30","YR2005","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,16.3383
"31","YR2006","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,79.3933
"32","YR2006","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-44.5061
"33","YR2006","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,100.5443
"34","YR2006","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.2461
"35","YR2006","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,30.6132
"36","YR2007","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,53.1215
"37","YR2007","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-39.719
"38","YR2007","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,77.418
"39","YR2007","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.1075
"40","YR2007","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,21.775
"41","YR2008","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,40.9213
"42","YR2008","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-28.8086
"43","YR2008","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,68.9507
"44","YR2008","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.1841
"45","YR2008","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,6.9507
"46","YR2009","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,32.9975
"47","YR2009","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-21.7486
"48","YR2009","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,48.0679
"49","YR2009","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.1608
"50","YR2009","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,11.0968
"51","YR2010","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,39.2905
"52","YR2010","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-21.7003
"53","YR2010","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,56.4917
"54","YR2010","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.305
"55","YR2010","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,8.3029
"56","YR2011","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,6.0136
"57","YR2011","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-32.901
"58","YR2011","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,37.7044
"59","YR2011","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.4731
"60","YR2011","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,5.2848
"61","YR2012","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-19.0497
"62","YR2012","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-36.9121
"63","YR2012","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,28.7334
"64","YR2012","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.1852
"65","YR2012","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-7.1449
"66","YR2013","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-8.5267
"67","YR2013","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-43.8923
"68","YR2013","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,52.2677
"69","YR2013","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.044
"70","YR2013","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-13.0084
"71","YR2014","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-19.8571
"72","YR2014","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-58.3928
"73","YR2014","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,51.632
"74","YR2014","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.1515
"75","YR2014","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-9.5116
"76","YR2015","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-31.6569
"77","YR2015","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-59.6845
"78","YR2015","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,40.2761
"79","YR2015","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,-0.0093
"80","YR2015","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-8.2626
"81","YR2016","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-81.0697
"82","YR2016","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-89.368
"83","YR2016","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,23.6396
"84","YR2016","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,-0.0205
"85","YR2016","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-11.1228
"86","YR2017","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-50.5135
"87","YR2017","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-88.58
"88","YR2017","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,46.7555
"89","YR2017","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.1962
"90","YR2017","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-4.7577
"91","YR2018","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-77.595
"92","YR2018","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-96.0766
"93","YR2018","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,37.036
"94","YR2018","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.1014
"95","YR2018","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-13.6405
"96","YR2019","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-82.2824
"97","YR2019","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-76.6167
"98","YR2019","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,24.5248
"99","YR2019","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,-0.0589
"100","YR2019","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-25.2088
"101","YR2020","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-80.0934
"102","YR2020","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-81.3537
"103","YR2020","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,36.0739
"104","YR2020","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.0138
"105","YR2020","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-30.3839
"106","YR2021","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-108.8258
"107","YR2021","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-86.581
"108","YR2021","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,18.1371
"109","YR2021","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.1303
"110","YR2021","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-35.6115
"111","YR2022","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-104.3324
"112","YR2022","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-76.5975
"113","YR2022","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,4.3365
"114","YR2022","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.0755
"115","YR2022","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-26.5362
"116","YR2023","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-95.8245
"117","YR2023","AUS","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-75.0651
"118","YR2023","AUS","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,4.3572
"119","YR2023","AUS","EN.GHG.CO2.LU.OS.MT.CE.AR5",0,0.0755
"120","YR2023","AUS","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,-26.5362
"121","YR2000","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-18.2794
"122","YR2000","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-18.915
"123","YR2000","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,0.9767
"124","YR2000","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.5477
"125","YR2001","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-24.6427
"126","YR2001","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-24.4026
"127","YR2001","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,0.9786
"128","YR2001","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.4824
"129","YR2002","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-16.1043
"130","YR2002","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-15.2551
"131","YR2002","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.3305
"132","YR2002","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.4557
"133","YR2003","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-11.1807
"134","YR2003","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-9.746
"135","YR2003","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.3321
"136","YR2003","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.4565
"137","YR2004","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-16.0312
"138","YR2004","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-15.3635
"139","YR2004","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.322
"140","YR2004","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.4587
"141","YR2005","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-15.447
"142","YR2005","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-14.7776
"143","YR2005","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.311
"144","YR2005","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.4809
"145","YR2006","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-8.7015
"146","YR2006","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-7.6805
"147","YR2006","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.3001
"148","YR2006","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.4817
"149","YR2007","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-8.2262
"150","YR2007","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-5.916
"151","YR2007","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.2892
"152","YR2007","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.4459
"153","YR2008","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-10.018
"154","YR2008","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-8.1024
"155","YR2008","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.2783
"156","YR2008","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.5613
"157","YR2009","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-9.7287
"158","YR2009","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-11.4023
"159","YR2009","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.2381
"160","YR2009","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.5619
"161","YR2010","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-11.9575
"162","YR2010","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-12.2962
"163","YR2010","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.2357
"164","YR2010","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.5547
"165","YR2011","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-11.2497
"166","YR2011","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-11.3334
"167","YR2011","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.2332
"168","YR2011","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.5377
"169","YR2012","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-9.3784
"170","YR2012","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-10.0695
"171","YR2012","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.2314
"172","YR2012","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.5148
"173","YR2013","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-5.2398
"174","YR2013","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-6.8416
"175","YR2013","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.2297
"176","YR2013","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.5103
"177","YR2014","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-10.046
"178","YR2014","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-11.3998
"179","YR2014","AUT","EN.GHG.CO2.LU.DF.MT.CE.AR5",0,1.2279
"180","YR2014","AUT","EN.GHG.CO2.LU.OL.MT.CE.AR5",0,1.4978
"181","YR2015","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-4.3028
"182","YR2015","AUT","EN.GHG.CO2.LU.FL.MT.CE.AR5",0,-5.7905
