"","Time","Country","Series","SCALE","Data"
"67","YR1973","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"68","YR1973","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"69","YR1973","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0001
"70","YR1973","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"71","YR1973","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"72","YR1973","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0
"73","YR1973","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.012
"74","YR1973","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.01
"75","YR1973","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"76","YR1973","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0003
"77","YR1973","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0007
"78","YR1973","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0312
"79","YR1973","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0023
"80","YR1973","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.0577
"81","YR1973","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"82","YR1973","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0
"83","YR1973","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"84","YR1973","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0.0001
"85","YR1973","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0003
"86","YR1973","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
"87","YR1973","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0
"88","YR1973","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0004
"89","YR1974","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"90","YR1974","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"91","YR1974","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0001
"92","YR1974","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"93","YR1974","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"94","YR1974","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0
"95","YR1974","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0121
"96","YR1974","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0095
"97","YR1974","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"98","YR1974","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0003
"99","YR1974","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0007
"100","YR1974","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0301
"101","YR1974","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.003
"102","YR1974","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.057
"103","YR1974","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"104","YR1974","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0
"105","YR1974","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"106","YR1974","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0.0001
"107","YR1974","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0003
"108","YR1974","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
"109","YR1974","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0
"110","YR1974","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0004
"111","YR1975","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"112","YR1975","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"113","YR1975","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0001
"114","YR1975","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"115","YR1975","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"116","YR1975","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0
"117","YR1975","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0122
"118","YR1975","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0091
"119","YR1975","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"120","YR1975","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0004
"121","YR1975","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0007
"122","YR1975","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.043
"123","YR1975","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0043
"124","YR1975","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.0711
"125","YR1975","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"126","YR1975","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0
"127","YR1975","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"128","YR1975","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0
"129","YR1975","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0004
"130","YR1975","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
"131","YR1975","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0
"132","YR1975","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0004
"133","YR1976","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"134","YR1976","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"135","YR1976","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0002
"136","YR1976","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"137","YR1976","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"138","YR1976","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0
"139","YR1976","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0123
"140","YR1976","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0105
"141","YR1976","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"142","YR1976","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0005
"143","YR1976","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0008
"144","YR1976","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0399
"145","YR1976","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.005
"146","YR1976","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.0702
"147","YR1976","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"148","YR1976","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0
"149","YR1976","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"150","YR1976","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0
"151","YR1976","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0004
"152","YR1976","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
"153","YR1976","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0
"154","YR1976","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0004
"155","YR1977","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"156","YR1977","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"157","YR1977","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0002
"158","YR1977","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"159","YR1977","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"160","YR1977","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0
"161","YR1977","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0122
"162","YR1977","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0126
"163","YR1977","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"164","YR1977","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0005
"165","YR1977","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0008
"166","YR1977","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0479
"167","YR1977","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0055
"168","YR1977","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.081
"169","YR1977","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"170","YR1977","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0.0001
"171","YR1977","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"172","YR1977","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0
"173","YR1977","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0004
"174","YR1977","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
"175","YR1977","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0
"176","YR1977","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0005
"177","YR1978","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"178","YR1978","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"179","YR1978","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0002
"180","YR1978","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"181","YR1978","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"182","YR1978","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0
"183","YR1978","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0122
"184","YR1978","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0147
"185","YR1978","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"186","YR1978","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0006
"187","YR1978","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0008
"188","YR1978","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0498
"189","YR1978","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0062
"190","YR1978","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.0859
"191","YR1978","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"192","YR1978","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0.0001
"193","YR1978","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"194","YR1978","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0
"195","YR1978","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0004
"196","YR1978","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
"197","YR1978","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0.0001
"198","YR1978","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0005
"199","YR1979","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"200","YR1979","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"201","YR1979","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0002
"202","YR1979","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0
"203","YR1979","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"204","YR1979","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0
"205","YR1979","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0122
"206","YR1979","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0181
"207","YR1979","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"208","YR1979","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0006
"209","YR1979","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0008
"210","YR1979","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0509
"211","YR1979","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0057
"212","YR1979","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.0899
"213","YR1979","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"214","YR1979","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0.0001
"215","YR1979","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"216","YR1979","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0
"217","YR1979","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0004
"218","YR1979","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0.0001
